symbol,timestamp,prev_time,prev_price,curr_price,drop_percent,volume,alert_type,volume_spike,volume_avg,spike_ratio,rise_percent
ADANIGREEN,2025-10-30 15:20:00+05:30,2025-10-30 14:50:00+05:30,1110.0,1149.9,,570512,30min_rise,False,,,3.594594594594603
ADANIGREEN,2025-10-30 15:15:00+05:30,2025-10-30 14:45:00+05:30,1111.2,1149.6,,868279,30min_rise,False,,,3.4557235421166186
ADANIGREEN,2025-10-30 15:10:00+05:30,2025-10-30 15:00:00+05:30,1115.6,1141.1,,729742,10min_rise,False,,,2.285765507350305
ADANIGREEN,2025-10-30 15:10:00+05:30,2025-10-30 15:00:00+05:30,1115.6,1141.1,,729742,volume_spike_rise,True,184869.0,3.9473287060535385,2.285765507350305
ADANIGREEN,2025-10-30 15:05:00+05:30,2025-10-30 14:55:00+05:30,1112.0,1138.0,,840596,10min_rise,False,,,2.338129496402878
ADANIGREEN,2025-10-30 15:05:00+05:30,2025-10-30 14:55:00+05:30,1112.0,1138.0,,840596,volume_spike_rise,True,50309.0,16.70843906737605,2.338129496402878
ABCAPITAL,2025-10-30 14:40:00+05:30,2025-10-30 14:10:00+05:30,311.6,325.3,,942202,30min_rise,False,,,4.396662387676504
ABCAPITAL,2025-10-30 14:35:00+05:30,2025-10-30 14:05:00+05:30,312.85,324.35,,1084995,30min_rise,False,,,3.675883011027649
M&MFIN,2025-10-30 14:30:00+05:30,2025-10-30 14:20:00+05:30,310.55,315.35,,76396,volume_spike_rise,True,21138.0,3.614012126181672,1.545644823699891
ABCAPITAL,2025-10-30 14:25:00+05:30,2025-10-30 13:55:00+05:30,313.25,323.95,,1281963,30min_rise,False,,,3.4158020750199483
ABCAPITAL,2025-10-30 14:20:00+05:30,2025-10-30 13:50:00+05:30,313.25,324.25,,2952823,30min_rise,False,,,3.5115722266560256
ABCAPITAL,2025-10-30 14:20:00+05:30,2025-10-30 14:10:00+05:30,311.6,324.25,,2952823,volume_spike_rise,True,918993.0,3.2131065900199838,4.059691912708593
ABCAPITAL,2025-10-30 14:20:00+05:30,2025-10-30 14:10:00+05:30,311.6,324.25,,2952823,10min_rise,False,,,4.059691912708593
ABCAPITAL,2025-10-30 14:15:00+05:30,2025-10-30 14:05:00+05:30,312.85,318.3,,2116471,volume_spike_rise,True,574590.0,3.6834402451599613,1.742048905226143
CIPLA,2025-10-30 13:50:00+05:30,2025-10-30 13:40:00+05:30,1574.8,1543.4,1.993903987807967,458990,volume_spike,True,118517.0,3.8727777449648575,
COROMANDEL,2025-10-30 13:50:00+05:30,2025-10-30 13:20:00+05:30,2246.5,2174.5,3.2049855330514134,20129,30min,False,,,
CIPLA,2025-10-30 13:45:00+05:30,2025-10-30 13:35:00+05:30,1575.3,1520.2,3.4977464609915514,570514,volume_spike,True,37451.0,15.233544126351205,
CIPLA,2025-10-30 13:45:00+05:30,2025-10-30 13:15:00+05:30,1579.0,1520.2,3.723875870804304,570514,30min,False,,,
CIPLA,2025-10-30 13:45:00+05:30,2025-10-30 13:35:00+05:30,1575.3,1520.2,3.4977464609915514,570514,10min,False,,,
CANBK,2025-10-30 12:55:00+05:30,2025-10-30 12:25:00+05:30,129.08,133.64,,4237197,30min_rise,False,,,3.532692903625638
CANBK,2025-10-30 12:35:00+05:30,2025-10-30 12:25:00+05:30,129.08,131.4,,9500731,volume_spike_rise,True,948174.0,10.020027262923742,1.7973349860551542
UNIONBANK,2025-10-30 12:30:00+05:30,2025-10-30 12:20:00+05:30,144.92,147.7,,7481505,volume_spike_rise,True,340616.0,21.964599483583445,1.9182997515870837
IDEA,2025-10-30 10:45:00+05:30,2025-10-30 10:15:00+05:30,8.4,8.67,,48165554,30min_rise,False,,,3.214285714285709
