date,day_of_week,nifty_entry,nifty_exit,nifty_move,nifty_move_pct,vix,atm_strike,days_to_expiry,entry_call,entry_put,entry_straddle,exit_call,exit_put,exit_straddle,premium_collected,premium_paid,gross_pnl,transaction_cost,net_pnl
2025-07-07,Monday,25457.35,25457.3,-0.05,-0.0,12.56,25450,10,211.7,211.7,423.4,207.29,207.29,414.57,21169.78,20728.75,441.04,129.71,311.33
2025-07-08,Tuesday,25455.85,25523.0,67.15,0.26,12.2,25450,9,195.07,195.07,390.13,190.8,190.43,381.23,19506.63,19061.37,445.26,126.91,318.35
2025-07-09,Wednesday,25504.65,25470.1,-34.55,-0.14,11.94,25500,8,180.34,180.34,360.67,175.58,175.76,351.34,18033.59,17566.94,466.65,124.42,342.23
2025-07-10,Thursday,25420.25,25371.8,-48.45,-0.19,11.67,25400,7,164.33,164.33,328.66,159.36,159.59,318.95,16432.86,15947.59,485.27,121.72,363.55
2025-07-11,Friday,25258.9,25138.6,-120.3,-0.48,11.82,25250,6,153.12,153.12,306.23,147.62,148.15,295.78,15311.62,14788.76,522.85,119.82,403.04
2025-07-14,Monday,25109.7,25080.5,-29.2,-0.12,11.98,25100,10,199.16,199.16,398.33,194.96,195.13,390.09,19916.45,19504.36,412.09,127.62,284.47
2025-07-15,Tuesday,25118.8,25204.85,86.05,0.34,11.48,25100,9,181.12,181.12,362.25,177.23,176.78,354.01,18112.38,17700.69,411.69,124.59,287.11
2025-07-16,Wednesday,25152.75,25207.8,55.05,0.22,11.24,25150,8,167.42,167.42,334.84,163.24,162.97,326.21,16742.12,16310.58,431.53,122.27,309.26
2025-07-17,Thursday,25186.5,25113.15,-73.35,-0.29,11.24,25200,7,156.82,156.82,313.64,152.04,152.37,304.41,15681.83,15220.65,461.18,120.47,340.71
2025-07-18,Friday,25024.95,24965.3,-59.65,-0.24,11.39,25000,6,146.18,146.18,292.36,141.02,141.27,282.29,14617.94,14114.58,503.36,118.66,384.7
2025-07-21,Monday,25039.95,25094.75,54.8,0.22,11.2,25050,10,185.68,185.68,371.36,182.01,181.71,363.72,18568.0,18186.14,381.86,125.37,256.49
2025-07-22,Tuesday,25095.45,25064.65,-30.8,-0.12,10.75,25100,9,169.45,169.45,338.9,165.48,165.63,331.1,16944.87,16555.17,389.7,122.64,267.07
2025-07-23,Wednesday,25094.9,25218.65,123.75,0.49,10.52,25100,8,156.34,156.34,312.67,152.64,152.08,304.72,15633.63,15235.89,397.74,120.43,277.31
2025-07-24,Thursday,25166.55,25058.25,-108.3,-0.43,10.72,25150,7,149.44,149.44,298.89,144.84,145.31,290.15,14944.49,14507.51,436.98,119.25,317.73
2025-07-25,Friday,24929.9,24833.7,-96.2,-0.39,11.28,24950,6,144.22,144.22,288.44,139.08,139.48,278.55,14421.78,13927.74,494.04,118.34,375.7
2025-07-28,Monday,24816.05,24681.35,-134.7,-0.54,12.06,24800,10,198.15,198.15,396.3,193.76,194.55,388.31,19814.97,19415.33,399.65,127.45,272.19
