date,day_of_week,nifty_entry,nifty_exit,nifty_move,nifty_move_pct,vix,atm_strike,days_to_expiry,entry_call,entry_put,entry_straddle,exit_call,exit_put,exit_straddle,premium_collected,premium_paid,gross_pnl,transaction_cost,net_pnl
2025-07-07,Monday,25457.35,25457.3,-0.05,-0.0,12.56,25450,3,115.95,115.95,231.9,107.9,107.9,215.8,11595.17,10789.95,805.22,113.4,691.82
2025-07-08,Tuesday,25455.85,25523.0,67.15,0.26,12.2,25450,2,91.96,91.96,183.91,82.49,82.32,164.81,9195.51,8240.36,955.15,109.28,845.86
2025-07-09,Wednesday,25504.65,25470.1,-34.55,-0.14,11.94,25500,1,63.76,63.76,127.52,50.46,50.51,100.97,6375.84,5048.39,1327.44,104.33,1223.12
2025-07-10,Thursday,25420.25,25371.8,-48.45,-0.19,11.67,25400,7,164.33,164.33,328.66,159.36,159.59,318.95,16432.86,15947.59,485.27,121.72,363.55
2025-07-11,Friday,25258.9,25138.6,-120.3,-0.48,11.82,25250,6,153.12,153.12,306.23,147.62,148.15,295.78,15311.62,14788.76,522.85,119.82,403.04
2025-07-14,Monday,25109.7,25080.5,-29.2,-0.12,11.98,25100,3,109.09,109.09,218.17,101.48,101.57,203.05,10908.69,10152.62,756.07,112.28,643.79
2025-07-15,Tuesday,25118.8,25204.85,86.05,0.34,11.48,25100,2,85.38,85.38,170.77,76.62,76.42,153.04,8538.26,7652.13,886.13,108.22,777.91
2025-07-16,Wednesday,25152.75,25207.8,55.05,0.22,11.24,25150,1,59.19,59.19,118.38,46.91,46.83,93.75,5919.23,4687.34,1231.89,103.62,1128.27
2025-07-17,Thursday,25186.5,25113.15,-73.35,-0.29,11.24,25200,7,156.82,156.82,313.64,152.04,152.37,304.41,15681.83,15220.65,461.18,120.47,340.71
2025-07-18,Friday,25024.95,24965.3,-59.65,-0.24,11.39,25000,6,146.18,146.18,292.36,141.02,141.27,282.29,14617.94,14114.58,503.36,118.66,384.7
2025-07-21,Monday,25039.95,25094.75,54.8,0.22,11.2,25050,3,101.7,101.7,203.4,94.74,94.59,189.33,10170.11,9466.44,703.67,111.07,592.6
2025-07-22,Tuesday,25095.45,25064.65,-30.8,-0.12,10.75,25100,2,79.88,79.88,159.76,71.54,71.6,143.14,7987.89,7156.91,830.97,107.33,723.64
2025-07-23,Wednesday,25094.9,25218.65,123.75,0.49,10.52,25100,1,55.27,55.27,110.55,43.87,43.7,87.57,5527.32,4378.49,1148.83,103.01,1045.82
2025-07-24,Thursday,25166.55,25058.25,-108.3,-0.43,10.72,25150,7,149.44,149.44,298.89,144.84,145.31,290.15,14944.49,14507.51,436.98,119.25,317.73
2025-07-25,Friday,24929.9,24833.7,-96.2,-0.39,11.28,24950,6,144.22,144.22,288.44,139.08,139.48,278.55,14421.78,13927.74,494.04,118.34,375.7
2025-07-28,Monday,24816.05,24681.35,-134.7,-0.54,12.06,24800,3,108.53,108.53,217.06,100.86,101.27,202.13,10853.11,10106.27,746.84,112.19,634.64
2025-07-29,Tuesday,24709.25,24827.55,118.3,0.48,11.53,24700,2,84.36,84.36,168.71,75.75,75.48,151.23,8435.63,7561.44,874.19,108.06,766.13
2025-07-30,Wednesday,24839.75,24854.55,14.8,0.06,11.21,24850,1,58.3,58.3,116.6,46.15,46.15,92.31,5829.97,4615.39,1214.58,103.48,1111.1
