date,signal,score,nifty_spot,vix,vix_trend,iv_rank,veto_type,theta_score,gamma_score,vega_score,vix_score,market_regime,oi_pattern,recommendation,risk_factors
2025-12-03,AVOID,0,26328.55,9.45,-0.23000000000000043,1.4760147601476015,IV_RANK_TOO_LOW,0,0,0,0,UNKNOWN,UNKNOWN,"HARD VETO: IV Rank 1.5% < 15% - Premiums too cheap, poor risk/reward","IV Rank 1.5% < 15% - Premiums too cheap, poor risk/reward"
2025-12-04,AVOID,0,26328.55,9.45,-0.23000000000000043,1.4760147601476015,IV_RANK_TOO_LOW,0,0,0,0,UNKNOWN,UNKNOWN,"HARD VETO: IV Rank 1.5% < 15% - Premiums too cheap, poor risk/reward","IV Rank 1.5% < 15% - Premiums too cheap, poor risk/reward"
2025-12-05,AVOID,0,26328.55,9.45,-0.23000000000000043,1.4760147601476015,IV_RANK_TOO_LOW,0,0,0,0,UNKNOWN,UNKNOWN,"HARD VETO: IV Rank 1.5% < 15% - Premiums too cheap, poor risk/reward","IV Rank 1.5% < 15% - Premiums too cheap, poor risk/reward"
2025-12-08,AVOID,0,26328.55,9.45,-0.23000000000000043,1.4760147601476015,IV_RANK_TOO_LOW,0,0,0,0,UNKNOWN,UNKNOWN,"HARD VETO: IV Rank 1.5% < 15% - Premiums too cheap, poor risk/reward","IV Rank 1.5% < 15% - Premiums too cheap, poor risk/reward"
2025-12-09,AVOID,0,26328.55,9.45,-0.23000000000000043,1.4760147601476015,IV_RANK_TOO_LOW,0,0,0,0,UNKNOWN,UNKNOWN,"HARD VETO: IV Rank 1.5% < 15% - Premiums too cheap, poor risk/reward","IV Rank 1.5% < 15% - Premiums too cheap, poor risk/reward"
2025-12-10,AVOID,0,26328.55,9.45,-0.23000000000000043,1.4760147601476015,IV_RANK_TOO_LOW,0,0,0,0,UNKNOWN,UNKNOWN,"HARD VETO: IV Rank 1.5% < 15% - Premiums too cheap, poor risk/reward","IV Rank 1.5% < 15% - Premiums too cheap, poor risk/reward"
2025-12-11,AVOID,0,26328.55,9.45,-0.23000000000000043,1.4760147601476015,IV_RANK_TOO_LOW,0,0,0,0,UNKNOWN,UNKNOWN,"HARD VETO: IV Rank 1.5% < 15% - Premiums too cheap, poor risk/reward","IV Rank 1.5% < 15% - Premiums too cheap, poor risk/reward"
2025-12-12,AVOID,0,26328.55,9.45,-0.23000000000000043,1.4760147601476015,IV_RANK_TOO_LOW,0,0,0,0,UNKNOWN,UNKNOWN,"HARD VETO: IV Rank 1.5% < 15% - Premiums too cheap, poor risk/reward","IV Rank 1.5% < 15% - Premiums too cheap, poor risk/reward"
2025-12-15,AVOID,0,26328.55,9.45,-0.23000000000000043,1.4760147601476015,IV_RANK_TOO_LOW,0,0,0,0,UNKNOWN,UNKNOWN,"HARD VETO: IV Rank 1.5% < 15% - Premiums too cheap, poor risk/reward","IV Rank 1.5% < 15% - Premiums too cheap, poor risk/reward"
2025-12-16,AVOID,0,26328.55,9.45,-0.23000000000000043,1.4760147601476015,IV_RANK_TOO_LOW,0,0,0,0,UNKNOWN,UNKNOWN,"HARD VETO: IV Rank 1.5% < 15% - Premiums too cheap, poor risk/reward","IV Rank 1.5% < 15% - Premiums too cheap, poor risk/reward"
2025-12-17,AVOID,0,26328.55,9.45,-0.23000000000000043,1.4760147601476015,IV_RANK_TOO_LOW,0,0,0,0,UNKNOWN,UNKNOWN,"HARD VETO: IV Rank 1.5% < 15% - Premiums too cheap, poor risk/reward","IV Rank 1.5% < 15% - Premiums too cheap, poor risk/reward"
2025-12-18,AVOID,0,26328.55,9.45,-0.23000000000000043,1.4760147601476015,IV_RANK_TOO_LOW,0,0,0,0,UNKNOWN,UNKNOWN,"HARD VETO: IV Rank 1.5% < 15% - Premiums too cheap, poor risk/reward","IV Rank 1.5% < 15% - Premiums too cheap, poor risk/reward"
2025-12-19,AVOID,0,26328.55,9.45,-0.23000000000000043,1.4760147601476015,IV_RANK_TOO_LOW,0,0,0,0,UNKNOWN,UNKNOWN,"HARD VETO: IV Rank 1.5% < 15% - Premiums too cheap, poor risk/reward","IV Rank 1.5% < 15% - Premiums too cheap, poor risk/reward"
2025-12-22,AVOID,0,26328.55,9.45,-0.23000000000000043,1.4760147601476015,IV_RANK_TOO_LOW,0,0,0,0,UNKNOWN,UNKNOWN,"HARD VETO: IV Rank 1.5% < 15% - Premiums too cheap, poor risk/reward","IV Rank 1.5% < 15% - Premiums too cheap, poor risk/reward"
2025-12-23,AVOID,0,26328.55,9.45,-0.23000000000000043,1.4760147601476015,IV_RANK_TOO_LOW,0,0,0,0,UNKNOWN,UNKNOWN,"HARD VETO: IV Rank 1.5% < 15% - Premiums too cheap, poor risk/reward","IV Rank 1.5% < 15% - Premiums too cheap, poor risk/reward"
2025-12-24,AVOID,0,26328.55,9.45,-0.23000000000000043,1.4760147601476015,IV_RANK_TOO_LOW,0,0,0,0,UNKNOWN,UNKNOWN,"HARD VETO: IV Rank 1.5% < 15% - Premiums too cheap, poor risk/reward","IV Rank 1.5% < 15% - Premiums too cheap, poor risk/reward"
2025-12-26,AVOID,0,26328.55,9.45,-0.23000000000000043,1.4760147601476015,IV_RANK_TOO_LOW,0,0,0,0,UNKNOWN,UNKNOWN,"HARD VETO: IV Rank 1.5% < 15% - Premiums too cheap, poor risk/reward","IV Rank 1.5% < 15% - Premiums too cheap, poor risk/reward"
2025-12-29,AVOID,0,26328.55,9.45,-0.23000000000000043,1.4760147601476015,IV_RANK_TOO_LOW,0,0,0,0,UNKNOWN,UNKNOWN,"HARD VETO: IV Rank 1.5% < 15% - Premiums too cheap, poor risk/reward","IV Rank 1.5% < 15% - Premiums too cheap, poor risk/reward"
2025-12-30,AVOID,0,26328.55,9.45,-0.23000000000000043,1.4760147601476015,IV_RANK_TOO_LOW,0,0,0,0,UNKNOWN,UNKNOWN,"HARD VETO: IV Rank 1.5% < 15% - Premiums too cheap, poor risk/reward","IV Rank 1.5% < 15% - Premiums too cheap, poor risk/reward"
2025-12-31,AVOID,0,26328.55,9.45,-0.23000000000000043,1.4760147601476015,IV_RANK_TOO_LOW,0,0,0,0,UNKNOWN,UNKNOWN,"HARD VETO: IV Rank 1.5% < 15% - Premiums too cheap, poor risk/reward","IV Rank 1.5% < 15% - Premiums too cheap, poor risk/reward"
2026-01-01,AVOID,0,26328.55,9.45,-0.23000000000000043,1.4760147601476015,IV_RANK_TOO_LOW,0,0,0,0,UNKNOWN,UNKNOWN,"HARD VETO: IV Rank 1.5% < 15% - Premiums too cheap, poor risk/reward","IV Rank 1.5% < 15% - Premiums too cheap, poor risk/reward"
2026-01-02,AVOID,0,26328.55,9.45,-0.23000000000000043,1.4760147601476015,IV_RANK_TOO_LOW,0,0,0,0,UNKNOWN,UNKNOWN,"HARD VETO: IV Rank 1.5% < 15% - Premiums too cheap, poor risk/reward","IV Rank 1.5% < 15% - Premiums too cheap, poor risk/reward"
