Company Name,Industry,Symbol,Series,ISIN Code
Abbott India Ltd.,Healthcare,ABBOTINDIA,EQ,INE358A01014
Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM,EQ,INE031B01049
Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,INE540L01014
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037
Biocon Ltd.,Healthcare,BIOCON,EQ,INE376G01013
Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026
Divi's Laboratories Ltd.,Healthcare,DIVISLAB,EQ,INE361B01024
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,INE089A01031
Gland Pharma Ltd.,Healthcare,GLAND,EQ,INE068V01023
Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK,EQ,INE935A01035
Ipca Laboratories Ltd.,Healthcare,IPCALAB,EQ,INE571A01038
J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,JBCHEPHARM,EQ,INE572A01036
Laurus Labs Ltd.,Healthcare,LAURUSLABS,EQ,INE947Q01028
Lupin Ltd.,Healthcare,LUPIN,EQ,INE326A01037
Mankind Pharma Ltd.,Healthcare,MANKIND,EQ,INE634S01028
Piramal Pharma Ltd.,Healthcare,PPLPHARMA,EQ,INE0DK501011
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,EQ,INE044A01036
Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM,EQ,INE685A01028
Wockhardt Ltd.,Healthcare,WOCKPHARMA,EQ,INE049B01025
Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE,EQ,INE010B01027
